Biome,Total_SOC (kg),SOC_Density_5_Percentile (kg/m2),SOC_Density_50_Percentile (kg/m2),SOC_Density_95_Percentile (kg/m2),Annual_SOC_Change_5_Percentile (kg/m2),Annual_SOC_Change_50_Percentile (kg/m2),Annual_SOC_Change_95_Percentile (kg/m2),Relative_SOC_Change_5_Percentile,Relative_SOC_Change_50_Percentile,Relative_SOC_Change_95_Percentile
Forest,15718.882316631058,5.865391370212697,8.194755229785928,11.255387907871043,0.04536350177547429,0.11732414897924258,0.22883003304561436,0.4090793179174201,1.3828855380068923,3.2860549765060596
Fynbos,108510.27389143796,2.2862968532374457,4.832721305454703,8.05980220293159,-0.002102163198080051,0.04729102105781894,0.16068885989510623,-0.07523969793766723,1.1991809626645402,2.674974270903697
Grassland,339244.0523714429,2.0296467988470286,3.6306598832110133,7.549135037132962,0.0069901223011476585,0.045421432239148796,0.16034397837696276,0.21863914097831696,1.3459025855272162,2.5870731001295213
NamaKaroo,139442.2869647641,0.933382279384372,1.5025324904085213,3.0037523461893674,-0.009022614786614092,0.012079675893028287,0.041410484022472174,-0.6092736913122972,0.7909815754570566,1.9479860248064529
Savanna,384320.37667821755,1.1831812939623896,3.0280405845038256,7.981329427092854,-0.009809080079365673,0.0259378924454377,0.16504298560664907,-0.31864809010457273,1.1177750285879466,2.564245356316425
SucculentKaroo,43700.68400239256,1.0894719543778766,1.807405537187853,3.1504267468214486,-0.01069182436800922,0.012783541566924926,0.04523220186984806,-0.6392320337218309,0.7252564464153818,1.9843393625049566
Thicket,64376.23013057154,2.8278054344470367,5.752332830114689,9.343688608610943,-0.012575832372081196,0.07398590706874339,0.2363159235740533,-0.3996885385667579,1.3114222864067822,2.8667167545226544
Total,1095312.7863554577,1.0515991067921062,2.7877226619778495,7.49304038814883,-0.007531616147089463,0.02621180536885205,0.1531747056661911,-0.3440567564671749,1.0793960420058961,2.4706895614256985
