Lat,Lon
-30.049894077731672,28.458 
-29.18386867394724,29.258 
-25.806369599187917,22.658 
-28.231240729784343,32.658 
-26.758997543350795,32.458000000000006 
-25.200151816538813,23.258 
-26.758997543350795,32.858000000000004 
-23.814511170483705,26.858 
-33.860405854383195,26.458 
-31.52213726416521,29.858 
-28.058035649027453,32.658 
-25.546561978052583,24.058000000000003 
-25.63316451843103,25.058000000000003 
-23.12169084745616,27.658 
-34.55322617741074,20.858 
-28.75085597205501,18.658 
-30.829316941137662,17.458 
-26.758997543350795,21.658 
-34.12021347551853,25.458 
-34.12021347551853,23.858 
-27.451817866378352,32.858000000000004 
-25.89297213956636,32.058 
-30.049894077731672,28.458 
-29.18386867394724,29.258 
-25.806369599187917,22.658 
-28.231240729784343,32.658 
-26.758997543350795,32.458000000000006 
-25.200151816538813,23.258 
-26.758997543350795,32.858000000000004 
-23.814511170483705,26.858 
-33.860405854383195,26.458 
-31.52213726416521,29.858 
-28.058035649027453,32.658 
-25.546561978052583,24.058000000000003 
-25.63316451843103,25.058000000000003 
-23.12169084745616,27.658 
-34.55322617741074,20.858 
-28.75085597205501,18.658 
-30.829316941137662,17.458 
-26.758997543350795,21.658 
-34.12021347551853,25.458 
-34.12021347551853,23.858 
-27.451817866378352,32.858000000000004 
-25.89297213956636,32.058 
-30.049894077731672,28.458 
-29.18386867394724,29.258 
-25.806369599187917,22.658 
-28.231240729784343,32.658 
-26.758997543350795,32.458000000000006 
-25.200151816538813,23.258 
-26.758997543350795,32.858000000000004 
-23.814511170483705,26.858 
-33.860405854383195,26.458 
-31.52213726416521,29.858 
-28.058035649027453,32.658 
-25.546561978052583,24.058000000000003 
-25.63316451843103,25.058000000000003 
-23.12169084745616,27.658 
-34.55322617741074,20.858 
-28.75085597205501,18.658 
-30.829316941137662,17.458 
-26.758997543350795,21.658 
-34.12021347551853,25.458 
-34.12021347551853,23.858 
-27.451817866378352,32.858000000000004 
-25.89297213956636,32.058 
-30.049894077731672,28.458 
-29.18386867394724,29.258 
-25.806369599187917,22.658 
-28.231240729784343,32.658 
-26.758997543350795,32.458000000000006 
-25.200151816538813,23.258 
-26.758997543350795,32.858000000000004 
-23.814511170483705,26.858 
-33.860405854383195,26.458 
-31.52213726416521,29.858 
-28.058035649027453,32.658 
-25.546561978052583,24.058000000000003 
-25.63316451843103,25.058000000000003 
-23.12169084745616,27.658 
-34.55322617741074,20.858 
-28.75085597205501,18.658 
-30.829316941137662,17.458 
-26.758997543350795,21.658 
-34.12021347551853,25.458 
-34.12021347551853,23.858 
-27.451817866378352,32.858000000000004 
-25.89297213956636,32.058 
-30.049894077731672,28.458 
-29.18386867394724,29.258 
-25.806369599187917,22.658 
-28.231240729784343,32.658 
-26.758997543350795,32.458000000000006 
-25.200151816538813,23.258 
-26.758997543350795,32.858000000000004 
-23.814511170483705,26.858 
-33.860405854383195,26.458 
-31.52213726416521,29.858 
-28.058035649027453,32.658 
-25.546561978052583,24.058000000000003 
-25.63316451843103,25.058000000000003 
-23.12169084745616,27.658 
-34.55322617741074,20.858 
-28.75085597205501,18.658 
-30.829316941137662,17.458 
-26.758997543350795,21.658 
-34.12021347551853,25.458 
-34.12021347551853,23.858 
-27.451817866378352,32.858000000000004 
-25.89297213956636,32.058 
