Lat,Lon,Mean_SOC,SOC_Change_Percent
-33.94700839476164,23.058,46.56139971823398,0.18617474282344806
-33.94700839476164,23.858,42.650767743581945,0.44839335141312486
-32.821175369841875,28.058,33.64232475414364,0.5022485962764397
-34.033610935140075,22.458,62.480433660678436,0.3952460302041733
-32.99438045059876,27.658,33.188523630714286,0.32575082421831575
-32.734572829463424,27.058000000000003,49.38864783912858,0.14604352970655787
-33.94700839476164,22.258000000000003,48.02094341454606,0.2323883302546747
-33.6872007736263,26.458,32.02230512887872,0.3527380760856875
-33.94700839476164,22.658,26.64843292584713,0.33559916321287026
-32.647970289084974,27.258000000000003,46.685279499927404,0.09719950231114986
-34.033610935140075,24.058,76.57476666517202,0.11631809432580491
-28.31784327016279,32.458000000000006,40.373469705115944,0.28405652617352667
-30.915919481516102,28.858,39.70136633900491,0.16067061518230308
-25.113549276160366,30.658,45.24439780835683,0.18549881923385944
-32.38816266794964,27.458,53.6517245905351,0.14195964153441862
-32.734572829463424,28.258000000000003,38.41479168487086,0.38629478500554704
-32.647970289084974,25.658000000000005,53.551610669433174,0.4094680245905947
-25.02694673578192,30.858,50.575406694325245,0.07462491055685762
-27.5384204067568,32.658,30.24136840206014,0.43623231260028933
