Biome,Net_SOC,Net_SOC_Change_Percent
Forest,849.6179608745545,0.2745739934584023
Fynbos,8339.956563560576,0.5483932217209391
SucculentKaroo,5707.928175596124,0.39037772115523006
NamaKaroo,17849.970043609414,0.3975397421032035
Thicket,4359.049865763489,0.24878537691372063
Savanna,29993.85569068672,0.558955844052526
Grassland,28089.23221844196,0.5135888456553207
