Biome,Total_SOC (kg),SOC_Density_5_Percentile (kg/m2),SOC_Density_50_Percentile (kg/m2),SOC_Density_95_Percentile (kg/m2),Annual_SOC_Change_5_Percentile (kg/m2),Annual_SOC_Change_50_Percentile (kg/m2),Annual_SOC_Change_95_Percentile (kg/m2),Relative_SOC_Change_5_Percentile,Relative_SOC_Change_50_Percentile,Relative_SOC_Change_95_Percentile
Forest,7802.499319229518,2.4841462529258065,3.8271784701300455,5.954788405514623,-0.01846796754051633,-0.0028234671719612843,0.03686064418625073,-0.5087038177189749,-0.05287726379259132,1.4482239916945818
Fynbos,77790.70435155412,1.7923910114313375,3.403627129942178,5.348677817852499,-0.027767761763790397,0.005514430940461009,0.060419735368376006,-0.7755170401737171,0.16210687235655336,1.6334682197836288
Grassland,274124.6104362835,1.709844119534279,3.327111044182601,5.942065786816225,-0.029823856772497524,-1.1781431104403238e-06,0.027471377486381968,-0.7629729636828246,-4.331717119561277e-05,0.6833774769344563
NamaKaroo,186545.84834169215,1.6469343695988234,2.0404248094479267,4.0290627323073664,-0.006029885248858718,5.757844117652659e-20,0.006613768290492629,-0.26396767144411115,2.8275197999067164e-18,0.2574785020480772
Savanna,316148.75850229186,1.6163170544470296,2.269955602771293,5.556757667514803,-0.021182634069576906,3.708213974050206e-21,0.013269003940927402,-0.6059894794823638,1.8665072407593994e-19,0.42077650148028894
SucculentKaroo,72344.98821549253,1.7749946593277437,2.9056848617860345,5.396593471466543,-0.007960807943671742,4.5839469375534575e-09,0.0210108808430941,-0.3185813275875119,1.44180350509999e-07,0.5001244377292389
Thicket,48627.611744431226,2.3070308218936715,4.412164429965335,6.502211318551052,-0.02800158421233302,0.004167093639646396,0.044493315048161765,-0.5470684918441456,0.12778040155268555,1.1035430246166098
