Biome,Lat,Lon,Annual_SOC_Change,Mean_SOC,SOC_Change_Percent
Forest,-33.94700839476164,23.058,0.03184505192451587,3.2509156246309434,0.979571776124797
Forest,-33.94700839476164,23.858,-0.0164361224687901,3.7130399248856145,-0.44265945966892445
Forest,-32.821175369841875,28.058,0.0062402427686527335,5.913509033437832,0.10552520903185218
Forest,-34.033610935140075,22.458,0.03606681923313499,2.512761664986792,1.4353458083866688
Forest,-32.99438045059876,27.658,-0.004412206516313771,5.012347508966922,-0.08802674811394225
Forest,-32.734572829463424,27.058000000000003,-0.036754573186052415,3.5098803241887944,-1.0471745413299
Forest,-33.94700839476164,22.258000000000003,-0.016311890127950705,3.8271784701300455,-0.42621190141144466
Forest,-33.6872007736263,26.458,0.0005365774243256734,4.0015039506570025,0.013409393841472364
Forest,-33.94700839476164,22.658,0.044005068764292554,2.8133937153015087,1.5641276414658007
Forest,-32.647970289084974,27.258000000000003,-0.007415791771362225,5.0703602340034255,-0.14625769036348937
Forest,-34.033610935140075,24.058,-0.009994656499843975,2.226607544376936,-0.4488737373177609
Forest,-28.31784327016279,32.458000000000006,-0.007294696330312933,5.555345640774918,-0.13130949543033998
Forest,-30.915919481516102,28.858,-0.00277058887452087,6.326302754205751,-0.04379475630816074
Forest,-25.113549276160366,30.658,-0.00952046149246622,4.737450698102686,-0.2009617006944071
Forest,-32.38816266794964,27.458,-0.0028234671719612843,5.339662020024725,-0.05287726379259132
Forest,-32.734572829463424,28.258000000000003,0.024945413315477876,2.7582415328292633,0.9043955367422135
Forest,-32.647970289084974,25.658000000000005,-0.01633717124002011,3.6544332952216467,-0.4470507441299249
Forest,-25.02694673578192,30.858,0.023520605221625905,3.9968202246607323,0.5884829414268298
Forest,-27.5384204067568,32.658,0.0010744584649266685,3.8052390309096458,0.028236293599401514
Fynbos,-32.821175369841875,19.258,-0.008689977715049889,2.8505180695261223,-0.3048560824066109
Fynbos,-33.51399569286943,19.258,0.05474554724993671,3.3514914209465534,1.6334682197836288
Fynbos,-32.12835504681432,18.458,-0.0002251616777701122,1.5644333181110213,-0.014392539149062883
Fynbos,-32.99438045059876,18.858,0.0036129548892820536,4.125334026125889,0.08757969333879585
Fynbos,-33.600598233247865,24.258,0.00565976818224477,4.782268025471459,0.1183490375717033
Fynbos,-32.99438045059876,18.458,0.0035356742473810912,2.4312832271895783,0.14542420265318592
Fynbos,-33.77380331400475,20.658,0.006327649930173544,4.181840270757675,0.15131256864163026
Fynbos,-32.734572829463424,18.658,0.004850598741769691,2.64903420545826,0.18310819587663946
Fynbos,-33.77380331400475,23.858,0.0190431374591411,3.04360697713991,0.6256766265214707
Fynbos,-33.42739315249098,18.658,0.00020998113920511882,2.1841267834844813,0.009613962925271311
Fynbos,-33.77380331400475,20.258,0.01998152313773145,4.203129904278261,0.4753962783161366
Fynbos,-34.033610935140075,18.858,0.006913662568995613,2.0804188653494506,0.33232070157344573
Fynbos,-33.25418807173409,19.458,-0.00861123771077045,3.8370079432870563,-0.22442585050771213
Fynbos,-34.033610935140075,18.458,-0.025364096467117247,5.41891572014155,-0.4680658968885882
Fynbos,-33.340790612112535,21.658,-0.013802323310016042,4.303275404979612,-0.32073994832039887
Fynbos,-33.860405854383195,22.858,0.0069498545447441345,2.0958236046142114,0.33160493704924315
Fynbos,-33.600598233247865,23.058,0.03650048364383188,4.07619817769392,0.8954540984678464
Fynbos,-33.0809829909772,19.458,-0.009248538869476956,2.7001653760269835,-0.3425174973203024
Fynbos,-33.340790612112535,18.458,-0.0030174123916543593,2.1342578278022066,-0.14137993790382852
Fynbos,-32.99438045059876,20.458,0.0031720686253840376,2.504092714031648,0.12667536659523013
Fynbos,-31.695342344922103,19.058,0.017381875320589827,2.5222872912369203,0.6891314633736991
Fynbos,-33.77380331400475,22.658,0.04286739765579404,3.899940712408039,1.0991807521434174
Fynbos,-32.734572829463424,20.658,-0.0010598726034881463,3.9360922944506433,-0.026927026202673728
Fynbos,-33.25418807173409,18.258,0.011664918580523117,1.3082788415972013,0.8916232694157233
Fynbos,-34.033610935140075,20.858,-0.027767761763790397,4.070644410063099,-0.6821465833553358
Fynbos,-30.22309915848855,18.058,0.011532142904888387,3.4001751196360157,0.33916320480937134
Fynbos,-33.94700839476164,21.858,0.027327206059720912,4.179434918182428,0.6538493024699399
Fynbos,-33.51399569286943,23.658,0.01570430970210877,4.485841283574391,0.3500861646534966
Fynbos,-33.0809829909772,18.258,0.005844090265853902,1.7967395174656482,0.3252608521738953
Fynbos,-32.38816266794964,21.458,-1.825263447524632e-08,3.457567543092068,-5.279039164893125e-07
Fynbos,-33.600598233247865,25.058,-0.038173534038957284,6.081730075544924,-0.627675571996459
Fynbos,-32.99438045059876,19.258,-0.006421397204757973,2.824659634452678,-0.2273334856502886
Fynbos,-32.30156012757121,18.858,-0.012522092533574994,3.8493599343768836,-0.32530323864354377
Fynbos,-33.6872007736263,18.858,0.0016377358438140113,2.899084709146038,0.05649147948824258
Fynbos,-33.340790612112535,20.458,-0.0029233927140641654,1.7923910114313375,-0.16310016594703025
Fynbos,-34.55322617741074,20.058000000000003,0.03422141537545347,4.01855650063853,0.8515847760263132
Fynbos,-32.214957587192764,18.658,0.0097141921719336,2.752084874511678,0.3529757480192996
Fynbos,-34.033610935140075,19.658,0.013767139553757888,4.661605818513222,0.29533040951430756
Fynbos,-33.25418807173409,20.258,0.0033503929304674585,1.700851078677381,0.19698332043701305
Fynbos,-32.561367748706544,20.658,-0.004610752162303967,2.352512790432779,-0.1959926501167185
