Biome,Total_SOC (kg),SOC_Density_5_Percentile (kg/m2),SOC_Density_50_Percentile (kg/m2),SOC_Density_95_Percentile (kg/m2),Annual_SOC_Change_5_Percentile (kg/m2),Annual_SOC_Change_50_Percentile (kg/m2),Annual_SOC_Change_95_Percentile (kg/m2),Relative_SOC_Change_5_Percentile,Relative_SOC_Change_50_Percentile,Relative_SOC_Change_95_Percentile
Forest,13894.917435816917,5.602138970125811,7.293860530352603,9.569218526206827,0.0378578721027534,0.11472357311081507,0.2580394284068463,0.5267694626940994,1.5597647999004418,3.6969748740155266
Fynbos,95918.893204874,1.9991306106492124,4.406176692518533,7.133326653018526,0.01982549906811661,0.04976479539198693,0.13320241178019382,0.5392298325196657,1.3408916235129178,2.3272409232860984
Grassland,373352.1913157875,1.9718971952698976,4.257530702039604,8.219147595696866,0.022486297372417696,0.04928994811119679,0.13658308964627563,0.599690838115725,1.2805451917670931,2.0731397846028483
NamaKaroo,136750.50896468133,1.0131253492956729,1.4713701220374609,2.8986508413360497,-0.00019220654895887225,0.013028737287467626,0.04441704671938186,-0.01413387058096795,0.9165629506950623,1.869286149890262
Savanna,353529.5450982509,1.1854806920607048,2.669321200044628,7.433527807101424,0.006804428397869483,0.035636187028294776,0.12439427822706538,0.43372098038548623,1.2795459777118252,2.409967849258011
SucculentKaroo,42314.4494229443,1.2680084964892036,1.722049304999441,3.2304761474517334,-0.0018734432965170564,0.014861918264892016,0.04481567399032299,-0.1388991815152487,0.8222284934830753,1.8940064073546665
Thicket,60595.954068802115,2.614145491474151,5.343069708371248,8.698663937797573,0.0016463371031237367,0.05485553486221015,0.18005946209147033,0.05248669826797413,1.0959179772602847,2.370348799206748
