Biome,Lat,Lon,Annual_SOC_Change,Mean_SOC,SOC_Change_Percent
Forest,-33.94700839476164,23.058,0.16925131821092496,9.89336929485099,1.710755084205862
Forest,-33.94700839476164,23.858,0.1427846666073626,6.656508762955075,2.1450383630829193
Forest,-32.821175369841875,28.058,0.23735914456165383,7.552128575023692,3.1429436377267876
Forest,-34.033610935140075,22.458,0.08678285795328965,5.2380957410886175,1.6567634927431438
Forest,-32.99438045059876,27.658,0.11046787677616954,7.233701845172492,1.5271278681452949
Forest,-32.734572829463424,27.058000000000003,0.04097014905909929,5.9729322255011414,0.6859302518816345
Forest,-33.94700839476164,22.258000000000003,0.1439089525905658,8.196310009271503,1.7557773245250465
Forest,-33.6872007736263,26.458,0.18948060746503786,9.600424752275963,1.9736690027190504
Forest,-33.94700839476164,22.658,0.14835916837659113,8.253730326447897,1.7974801999672247
Forest,-32.647970289084974,27.258000000000003,0.15278312571575975,9.025667412640653,1.6927626371628042
Forest,-34.033610935140075,24.058,0.13550039963706154,6.275947675578854,2.1590428512386195
Forest,-28.31784327016279,32.458000000000006,0.044597486626891746,7.588777531116856,0.5876768220444624
Forest,-30.915919481516102,28.858,0.09558571843280787,6.297776147813476,1.517769386992173
Forest,-25.113549276160366,30.658,0.11954988681005345,8.225680763138906,1.4533737723664517
Forest,-32.38816266794964,27.458,0.1070828478747832,6.330013457110805,1.6916685659568693
Forest,-32.734572829463424,28.258000000000003,0.2464519067115703,7.055496939636898,3.4930481696765305
Forest,-32.647970289084974,25.658000000000005,0.11706963886886286,6.062064202274605,1.9311844111604102
Forest,-25.02694673578192,30.858,0.16605739058760619,10.079275538308268,1.6475131566398042
Forest,-27.5384204067568,32.658,0.04213938430166014,4.278752245398973,0.9848521691568718
Fynbos,-32.821175369841875,19.258,0.05051031249914918,3.8196489653438532,1.322381008240168
Fynbos,-33.51399569286943,19.258,0.0898046522705473,5.309932430419181,1.6912579104788699
Fynbos,-32.12835504681432,18.458,0.04844129559290534,2.228927004977628,2.173301121334458
Fynbos,-32.99438045059876,18.858,0.052755132080488036,4.019842617869852,1.3123680973471399
Fynbos,-33.600598233247865,24.258,0.03509737280576105,4.071810107410945,0.8619599608017493
Fynbos,-32.99438045059876,18.458,0.030068949527000028,3.125482700312081,0.9620577814747664
Fynbos,-33.77380331400475,20.658,0.02919675609753162,2.0142933909619565,1.449478821135796
Fynbos,-32.734572829463424,18.658,0.0607553569054527,4.262119881777648,1.4254727363537418
Fynbos,-33.77380331400475,23.858,0.06872248355494762,4.748872628573946,1.4471325918796965
Fynbos,-33.42739315249098,18.658,0.02926370779265054,3.922965392573985,0.7459588567374456
Fynbos,-33.77380331400475,20.258,0.05436447208040943,3.2328513788056483,1.6816260851587297
Fynbos,-34.033610935140075,18.858,0.023137296818947935,4.240283904415355,0.5456544264608169
Fynbos,-33.25418807173409,19.458,0.03778642540090132,3.07170436693686,1.2301452512040534
Fynbos,-34.033610935140075,18.458,0.09934981816961677,6.610748189599816,1.5028528590139953
Fynbos,-33.340790612112535,21.658,0.022532403002644197,3.793254018852574,0.5940124993121355
Fynbos,-33.860405854383195,22.858,0.13124187804993587,9.103232690539402,1.441706287331641
Fynbos,-33.600598233247865,23.058,0.03330649593550054,2.8361132140233307,1.1743711700511315
Fynbos,-33.0809829909772,19.458,0.04341656814862832,2.814911589491757,1.5423776828624072
Fynbos,-33.340790612112535,18.458,0.026781796494813388,3.6650706633468872,0.730730699482794
Fynbos,-32.99438045059876,20.458,0.047152568733645366,2.16121738010324,2.1817596493413776
Fynbos,-31.695342344922103,19.058,0.03995179835766085,2.2220582617441824,1.7979635838306547
Fynbos,-33.77380331400475,22.658,0.048295842701309065,5.186788228013723,0.9311319563899743
Fynbos,-32.734572829463424,20.658,0.03912879440855888,2.3734894553572707,1.648576711400178
Fynbos,-33.25418807173409,18.258,0.039421681880837445,3.7575060980846104,1.0491448543738267
Fynbos,-34.033610935140075,20.858,0.08107052405460258,5.364131719279246,1.5113447673782263
Fynbos,-30.22309915848855,18.058,0.018244596295678622,2.0667168097048814,0.8827816278459494
Fynbos,-33.94700839476164,21.858,0.10322148813057819,6.439183213374305,1.603021450238987
Fynbos,-33.51399569286943,23.658,0.018399953851963594,2.840544388667619,0.6477615320982273
Fynbos,-33.0809829909772,18.258,0.04867909171486277,3.5264420788546453,1.3804024176876106
Fynbos,-32.38816266794964,21.458,0.02641652521330334,2.0120899731924156,1.312889859064823
Fynbos,-33.600598233247865,25.058,0.08148168983812239,5.9193475134546425,1.3765316135421173
Fynbos,-32.99438045059876,19.258,0.048942374427651356,4.439301088905266,1.102479274270639
Fynbos,-32.30156012757121,18.858,0.08779272811110674,3.4576850635232503,2.5390608600324422
Fynbos,-33.6872007736263,18.858,0.018248909829162285,4.502807892509505,0.4052784454677634
Fynbos,-33.340790612112535,20.458,0.03599276364495121,2.0328207560402154,1.7705822580768238
Fynbos,-34.55322617741074,20.058000000000003,0.11163180416282939,4.845784882277252,2.303688811509284
Fynbos,-32.214957587192764,18.658,0.06062139667765719,2.3649817087839584,2.563292411628329
Fynbos,-34.033610935140075,19.658,0.10262028753196493,5.378365822041069,1.9080198507772932
Fynbos,-33.25418807173409,20.258,0.0338948468704756,1.9975759792092898,1.6967988814068722
Fynbos,-32.561367748706544,20.658,0.038195701353047375,2.563600642054704,1.4899240047948281
Fynbos,-34.72643125816764,20.058000000000003,0.05384961207707462,4.2398596092764524,1.27008007433209
Fynbos,-34.38002109665386,21.258000000000003,0.029342845965661876,4.22746734685914,0.6940998843542241
