Lat,Lon
-32.10533333,19.36222222
-31.31736111,20.27033333
-31.37358333,18.90308333
-31.38861111,19.18319444
-31.07333333,19.90080556
-31.74308333,19.73425
-31.87686111,19.75036111
-31.28266667,20.26930556
-31.83363889,19.16466667
-31.78913889,18.91563889
-31.52322222,19.18538889
-32.1148,18.71198
-32.16005,18.80112
-31.6113,19.14505
-31.76455,19.02607
-31.72642,19.1388
-31.85147,19.06098
-31.5368,19.15547
-32.27028,18.89777
-32.27363,18.89705
-27.11438889,28.64369444
-26.41927778,28.66491667
-26.90088889,28.46902778
-26.04597222,28.82872222
-27.04313889,28.7625
-26.19761111,29.38930556
-26.17880556,28.93130556
-26.44313889,28.63875
-26.70386111,28.50755556
-26.43622222,28.98711111
-26.70469444,28.84413889
-26.33822222,28.46419444
-26.09366667,29.21336111
-26.44594444,28.57116667
-26.44083333,28.31322222
-26.39669444,29.24997222
-26.07047222,28.94086111
-26.61694444,28.36041667
-26.17325,29.34569444
-26.15825,29.3045
-26.01947222,28.90988889
-26.34313889,29.15894444
-26.17708333,29.35502778
-26.15488889,28.73213889
-27.09011111,28.90036111
-26.17494444,28.67677778
-26.10402778,28.508
-26.17877778,29.13497222
-26.51616667,28.67319444
-26.32916667,29.06241667
-26.61069444,28.68633333
-26.39966667,28.94177778
-26.21980556,28.909
-26.15316667,28.68955556
-27.22152778,29.03183333
-26.68380556,28.93908333
-26.38977778,28.35072222
-26.38436111,28.35069444
-32.87430556,25.26325
-32.78158333,25.49336111
-32.70313889,25.42547222
-32.76377778,25.59872222
-32.96047222,25.7405
-32.36511111,25.09863889
-32.46002778,24.83172222
-32.693,25.3815
-32.86741667,25.34108333
-32.93688889,25.42655556
-32.4,25.10516667
-32.93947222,25.66008333
-32.82763889,25.58866667
-32.34752778,25.39419444
-32.45263889,25.43438889
-32.4085,25.33027778
-32.88127778,25.41327778
-33.05580556,24.85038889
-32.81861111,24.80761111
-33.01297222,25.0565
-32.97694444,24.87555556
-32.90611111,24.88144444
-32.79830556,25.09330556
-32.99138889,24.57958333
-32.812,24.64369444
-32.85297222,24.73163889
-33.20252778,25.19652778
-32.52022222,24.97672222
-33.05977778,24.66
-32.65894444,24.80783333
-32.67886111,24.9485
-33.07047222,25.18238889
-32.85811111,25.11316667
-32.497,24.79825
-32.51263889,24.86816667
-32.54866667,25.05963889
-32.90027778,24.56155556
-32.77438889,24.90394444
-32.62122222,24.77494444
-33.05763889,25.02955556
-32.6915,25.19886111
-28.94672222,26.10208333
-29.07369444,25.96244444
-29.767,26.21583333
-29.23597222,25.89594444
-29.43588889,26.76286111
-29.52027778,25.84675
-29.65755556,26.36816667
-29.34225,25.82625
-29.75433333,26.32011111
-28.92397222,26.177
-30.06247222,26.32216667
-29.62866667,25.85919444
-29.12575,26.71441667
-29.08794444,25.80352778
-29.12736111,25.60277778
-29.83288889,26.55575
-29.78480556,26.55613889
-28.90625,26.03455556
-28.79608333,26.10388889
-29.92052778,25.35813889
-29.38955556,25.37180556
-29.79558333,26.40430556
-29.67052778,26.76755556
-29.07702778,25.93005556
-29.49666667,26.41088889
-29.02,25.91286111
-29.72469444,25.9295
-28.88005556,25.67947222
-29.66391667,26.2895
-29.68577778,26.90461111
-22.67813889,31.16861111
-23.81530556,31.04269444
-23.36747222,29.63505556
-23.07636111,30.4685
-23.24602778,29.28108333
-23.10430556,30.24694444
-23.24397222,30.08647222
-23.79533333,30.48030556
-23.34219444,29.79394444
-23.20561111,30.12236111
-23.24886111,30.37966667
-23.24175,30.18730556
-22.98236111,29.87763889
-22.84413889,31.24294444
-22.36497222,29.93805556
-23.29263889,29.75169444
-23.14155556,30.42452778
-23.07022222,30.35980556
-22.78391667,29.63294444
-23.38472222,30.862
-22.88888889,31.24672222
-22.80163889,30.89902778
-23.20222222,29.32547222
-23.75213889,30.65602778
-22.76308333,30.87016667
-23.31375,30.27708333
-23.2995,30.24694444
-23.17913889,30.18261111
-23.15944444,30.39330556
-22.76069444,30.94075
-23.054,29.29061111
-23.39061111,30.77366667
-22.78911111,30.07205556
-22.84838889,30.57263889
-23.52597222,30.15711111
-23.21177778,30.25769444
-22.90433333,30.67644444
-23.23261111,30.18030556
-23.56986111,30.12975
-22.83761111,30.65961111
-23.33538889,30.66794444
-23.09333333,30.2265
-22.85711111,30.04686111
-23.13375,30.46263889
