Country,Site,Cluster,Plot,Latitude,Longitude,Depth,pH,Percent_N,Percent_C,Percent_Inorg_C,Percent_Org_C,Am.Ox.Al,Am.Ox.Fe,AmOx.Mn,AmOx.P,Olsen.P,pbi,Caex,Kex,Mgex,Naex,eCEC,Al,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Zn,As.75,Se.78,Mo.95,Cd.114
Tanzania,Chinyanghuku,4,4,-6.86873007,36.0972023,Topsoil,7.52,0.17,1.85,0,1.85,1006.810929,1312.476571,275.9655435,43.33068441,6.26,34.51,9.54,0.65207495,2.027403709,0.07496224,5.072384863,18259.28175,4202.455358,12.27497472,43.41294594,13.14518526,23144.54757,4283.509485,4025.372051,463.0056224,203.5356121,21.84460531,188.3496299,8.107575525,156.4917281,37.77477789,0.188405192,0.400214337,0.089829541,0.045555896
Tanzania,Chinyanghuku,4,7,-6.86867285,36.09580612,Topsoil,7.97,0.19,1.99,0,1.96,1430.850607,1847.261519,296.486632,128.6402109,15.92,52.27,17.93,0.645773611,3.35804912,0.086571555,19.89211142,29097.39704,7438.476924,14.26349656,43.91007701,20.04056104,32772.05354,5529.375308,6821.563811,492.054807,222.1810486,18.18310654,405.9861256,6.793161929,192.3392127,48.51249303,0.324326718,0.536309966,0.069253742,0.050895694
Tanzania,Chinyanghuku,4,8,-6.86531687,36.10004807,Topsoil,7.15,0.11,1.12,0,1.12,1037.901353,719.0482567,155.3486041,12.46809531,4.28,20.48,4.72,0.402391759,1.15811997,0.063307822,6.295663214,19993.89798,2703.986028,6.417495487,14.16881865,7.259903673,16497.10322,3577.734561,2972.137889,276.3496508,155.4846469,9.477856257,121.4242372,4.264911694,104.28648,28.41319175,0.144653954,0.32901509,0.059200635,0.033048155
Tanzania,Chinyanghuku,4,12,-6.86662817,36.10052872,Topsoil,6.69,0.06,0.53,0,0.53,1820.714226,1064.814535,186.8302943,-97.12931699,1.04,32.9,7.44,0.605683703,1.983468204,0.130833119,11.18960193,32073.52886,2737.157345,11.07007897,65.19765928,17.50430769,24926.37548,3098.05696,3899.847155,320.4670774,211.7725645,29.27433132,49.01098591,7.266630035,55.43700282,30.08877622,0.250863646,0.537331108,0.043025741,0.016433587
Tanzania,Chinyanghuku,4,15,-6.86088324,36.10046768,Topsoil,7.41,0.26,3.03,0,3.03,1079.256274,1285.256807,221.9583833,69.90306503,4.86,29.28,12.9,0.704054645,2.594064656,0.053976123,12.47422723,26582.83222,4951.082978,12.9767734,48.67062698,14.70596499,21477.15817,5793.580474,5528.655786,384.7916757,118.6978388,29.40682873,210.323966,8.72663153,255.8325082,31.82877183,0.20816723,0.435866719,0.096613014,0.049337063
Tanzania,Chinyanghuku,5,2,-6.93443298,36.12515259,Topsoil,7.24,0.09,0.92,0,0.92,955.6109792,1521.670923,257.2640369,64.97531231,7.18,25.5,5.55,0.477607423,1.298053047,0.062352044,1.831107198,21740.31854,5958.20163,14.37168984,35.1445955,8.056922709,27352.05205,7731.514194,7875.643387,549.8422102,305.1959029,12.0890563,242.1852418,5.937560082,83.49852811,46.43766064,0.185841482,0.414560332,0.032035855,0.041342411
Tanzania,Chinyanghuku,5,10,-6.93586206,36.12462234,Topsoil,7.15,0.12,1.24,0,1.24,1013.854982,1558.623979,191.8098977,68.97865042,7.02,28.77,7.39,0.493436906,2.761718618,0.032543859,9.389196474,24159.01889,4928.275397,12.91854687,31.96232858,8.249869856,28902.58678,8253.856147,8592.482357,463.1554306,229.5186166,11.09459996,229.5043119,5.667735965,111.9181711,47.7199623,0.195368808,0.393663648,0.031858041,0.029895748
Tanzania,Chinyanghuku,6,4,-6.91457701,36.1230278,Topsoil,7.82,0.05,0.49,0,0.49,934.4405483,1064.460505,164.9376076,0.787397113,2.94,25.34,4.63,0.361076796,1.029091419,0.065893604,3.357806526,20677.74084,3747.802554,7.500100851,19.97198443,7.705658731,17730.11659,3643.642825,3152.589454,315.9164465,130.1404031,7.733638013,107.5919611,5.917164016,57.80405335,23.00907185,0.186371428,0.356857679,0.058672432,0.026474051
Tanzania,Chinyanghuku,6,7,-6.91070986,36.12083817,Topsoil,6.91,0.05,0.56,0,0.56,1378.566699,1278.261708,174.965312,-71.6539536,2.3,34.53,3.96,0.757299137,1.226495863,0.155207929,12.06657644,24927.51928,2411.389825,9.709758578,27.29466094,11.00158932,21550.07234,4207.526306,3939.103081,335.7531208,170.4631331,8.893855349,78.55102341,7.975478113,53.65958042,26.25094906,0.167743827,0.487620164,0.018820425,0.01007016
Tanzania,Chinyanghuku,7,4,-6.88918018,36.11659622,Topsoil,7.22,0.02,0.3,0,0.3,673.415187,645.3258526,116.070368,-15.5114924,2.96,21.28,2.46,0.320090716,0.837842836,0.050284835,0.600977058,11516.45023,1700.624995,4.357617995,14.11957311,4.377750263,9234.867331,1610.31831,1300.089788,187.7177052,143.2709297,4.039483566,68.30274458,4.793759616,24.1873152,11.00719275,0.075404308,0.229382895,0.03545205,0.010073146
Tanzania,Chinyanghuku,8,3,-6.86254215,36.12046432,Topsoil,6.74,0.03,0.34,0,0.34,909.821022,1375.463864,42.62717364,-20.37469616,2.46,13.91,1.33,0.184496262,0.375842669,0.0368821,0.054960624,11337.7699,707.9343431,2.938076918,12.99393348,1.5343214,12580.6913,1339.707316,1046.986517,102.4993117,191.6907243,4.036878617,45.07303049,4.808469782,22.57443263,12.6000825,0.073416937,0.182677624,0.041872355,0.004618783
Tanzania,Chinyanghuku,8,7,-6.86553717,36.11709595,Topsoil,7.84,0.05,0.59,0,0.59,749.9202137,641.4386683,180.3928932,17.91654482,7.7,27.38,6.12,0.76550882,2.320221029,0.064752137,9.958888145,18307.61187,2619.40462,7.5713101,47.41055233,7.369112206,14278.27503,3286.494868,3267.778418,290.8861897,124.4361058,23.99343673,126.49118,5.20428308,64.67239203,18.74557062,0.191295246,0.319462414,0.099558823,0.019454551
Tanzania,Chinyanghuku,9,1,-6.92727,36.1416,Topsoil,7.08,0.16,1.74,0,1.74,1382.957967,2046.74689,505.7122282,41.07560478,3.32,41.34,10.65,0.839956402,2.26565788,0.045886015,12.62901926,37497.75047,6205.179521,32.65460415,59.26818612,57.9719409,53932.31951,8420.915214,7322.389497,829.4300652,297.6823106,44.62932964,219.4249307,7.542598621,150.1251461,53.39774532,0.304450348,0.475954586,0.044488795,0.089320375
Tanzania,Chinyanghuku,9,9,-6.9288,36.1416,Topsoil,7.38,0.09,0.88,0,0.88,1101.195525,2196.25876,431.7432107,91.06064433,9.02,35.77,7.31,0.747123213,2.666882887,0.038552711,12.73039323,29718.85676,6027.781439,23.45278767,43.14598054,22.75034738,45538.67971,9886.953902,8182.264417,750.4892995,315.1706818,29.29520519,256.3038449,5.408404281,85.67070708,52.04758422,0.199992082,0.441895622,0.02899324,0.042234043
Tanzania,Chinyanghuku,10,1,-6.90925,36.1369,Topsoil,6.83,0.12,1.29,0,1.29,1311.266657,1368.05137,266.3640384,-20.19182663,4.98,31.41,5.6,0.64395914,0.865918478,0.070867415,10.77209027,19569.27579,3593.48643,11.24126958,29.13806537,7.28699003,18833.12811,3821.375134,3749.719998,429.432025,238.9378941,9.610401391,176.5443381,15.53838415,98.96988029,29.31966389,0.156478017,0.491563916,0.05012867,0.020321549
Tanzania,Chinyanghuku,10,10,-6.90426,36.14,Topsoil,7.35,0.22,2.29,0,2.29,1235.151384,1709.397867,372.1280109,158.0570607,12.48,52.12,14.18,0.777373628,3.790246013,0.02445003,18.44977218,30268.30628,6716.944258,16.04847011,36.31859081,19.51360207,34265.77526,8648.859131,9090.220294,687.3839765,271.6464977,12.83295091,464.108024,12.02913734,240.7505763,60.47916818,0.32847205,0.611699038,0.06043181,0.066078909
Tanzania,Chinyanghuku,11,8,-6.89424,36.1339,Topsoil,7.78,0.06,0.73,0,0.73,1087.457229,863.2398232,109.1829308,-40.67837702,1.78,32.7,6.54,0.282794831,5.064806391,0.342174866,11.26691162,28951.78594,2465.306254,6.290140752,26.74967442,7.816429759,19693.44735,2533.194463,3515.396115,223.5374941,234.7251881,10.61589836,69.49448865,7.308056886,64.41444885,19.58670719,0.1981354,0.257492501,0.02521398,0.01284255
Tanzania,Chinyanghuku,11,9,-6.89404,36.1367,Topsoil,7.87,0.15,2.02,0.2,1.86,1052.851046,954.6741343,242.3732733,-10.46440303,3.04,48.39,14.6,0.598462004,3.2487072,0.050495314,16.94426182,28193.90015,8915.564514,10.87055996,28.09165122,9.662230774,23811.0855,3735.963353,4315.472673,412.290074,110.8746477,11.31176271,137.127552,8.490922123,166.2778505,27.56832762,0.271458453,0.442690352,0.040461366,0.033623157
Tanzania,Chinyanghuku,12,8,-6.85878706,36.14284897,Topsoil,6.45,0.06,0.77,0,0.77,947.6311498,880.3726922,139.4632834,3.299241343,1.18,26.66,2.56,0.22931224,1.423792258,0.050249172,7.470983738,20480.99305,1120.810948,6.456267071,17.87297882,4.861270837,13831.33057,2208.244864,2052.356304,238.9505131,110.5944196,6.739410602,62.07340232,5.628334761,44.8960114,17.64676356,0.249646237,0.308787832,0.02851109,0.01189396
Tanzania,Chinyanghuku,13,2,-6.93410778,36.16307831,Topsoil,7.05,0.1,0.97,0,0.97,1019.389696,1816.81032,183.9569924,70.09538901,6.24,38.1,4.81,0.615630615,1.469136854,0.042288711,6.483819632,29712.00718,2982.932102,16.87605286,62.82380829,20.68662518,31230.48353,8600.309269,7687.82608,455.6574954,121.8264328,30.71352088,152.814722,7.311089914,83.21997891,47.71839433,0.27596981,0.416425272,0.017983894,0.029309514
Tanzania,Chinyanghuku,13,8,-6.93353701,36.16355133,Topsoil,7.6,0.25,2.6,0,2.6,2740.07638,3851.960554,578.8060704,111.3141914,4.56,90.04,17.33,0.373674597,3.046148587,0.028463599,22.29570105,49494.3007,12318.77998,31.31371734,90.06387647,158.644639,71902.86584,2186.590786,6586.18272,973.1605106,1026.840953,69.64716227,364.8409828,4.425975571,260.6219652,42.60196567,0.381941305,0.630852509,0.054843838,0.077238127
Tanzania,Chinyanghuku,14,13,-6.90902185,36.16220856,Topsoil,6.74,0.19,2.35,0,2.35,785.9440202,1162.756083,264.6418262,75.43498148,8.94,26.44,5.86,0.740890174,2.936790338,0.01686757,13.49152323,19545.18702,3841.965561,12.26161705,24.10599606,7.921637205,20811.0113,7504.18586,7256.853244,508.1647407,124.5293117,9.025719438,185.6885749,6.752374129,151.4172916,36.18274013,0.247102488,0.304491935,0.052507023,0.019624064
Tanzania,Chinyanghuku,15,3,-6.88896513,36.16726685,Topsoil,7,0.25,2.74,0,2.74,1016.860577,1856.628288,356.0473092,151.3252259,14.88,53.46,11.43,0.955143435,2.360656848,0.028476574,15.73433488,28115.36989,6863.330454,18.84629924,25.72123751,21.33590831,33246.99961,11573.00679,11002.0236,670.0181707,105.7812455,15.98796795,307.3862074,3.713431885,195.9495468,49.42204123,0.210200204,0.402672069,0.078733471,0.044352584
Tanzania,Chinyanghuku,15,12,-6.88222981,36.16141891,Topsoil,6.74,0.27,3.25,0,3.25,750.3260993,1142.460238,215.6180862,114.8521471,17.52,28.9,8.85,0.912784029,3.476675403,0.021323963,12.82187597,23919.15256,4703.839871,13.93649625,35.98721357,14.02463351,24580.14785,10029.04765,10340.28157,501.8189057,123.7807327,15.34555765,251.1223088,4.997252503,232.7161706,45.81395332,0.158195311,0.272687063,0.058806929,0.027933312
Tanzania,Chinyanghuku,15,13,-6.88375,36.1644,Topsoil,6.35,0.14,1.87,0,1.87,824.5275873,1023.735527,150.3435051,62.12907403,5.6,24.26,4.25,0.389807003,1.977900437,0.022943553,6.578331839,16393.09425,2649.908913,7.866717208,13.66795276,4.52856046,13692.22438,3305.872702,3149.273852,267.3730278,135.794943,5.389526817,151.8905901,10.49584191,145.688468,21.88767929,0.143712848,0.286012752,0.064917137,0.020828921
Tanzania,Chinyanghuku,16,4,-6.87052,36.16,Topsoil,7.1,0.1,1.03,0,1.03,1050.72792,1678.795775,255.5230904,75.5900551,2.62,31.99,7.14,0.409749543,2.097875962,0.032649852,9.82671223,24569.49989,4451.972467,15.315302,33.25655191,20.4559768,28084.76389,7597.991349,7317.682998,492.9760837,126.0574773,15.81351245,182.7807371,8.934087262,122.1969418,47.39441889,0.359808379,0.534258012,0.066315318,0.03623714
Tanzania,Chinyanghuku,16,8,-6.87246,36.1577,Topsoil,7.34,0.17,1.94,0,1.94,1106.62716,2116.070728,276.7095065,106.2578765,4.82,43.65,5.92,0.751945397,5.76015003,0.029569813,14.276262,23834.7213,3143.346819,19.26834131,266.2565102,16.59025354,28912.10783,8337.890324,9859.601895,508.8433922,134.0827148,59.58484848,287.366786,5.188681724,161.4793348,32.32140669,0.455158625,0.517410344,0.097375764,0.043063216
Tanzania,Pandambili,1,1,-6.12600994,36.44020081,Topsoil,7.85,0.08,0.95,0,0.94,2105.973713,868.3477973,160.4628247,27.45654485,2.7,79.3,15.21,1.540675037,3.567985569,0.040272002,21.92611614,29014.85544,3257.152385,6.58616712,52.22530598,11.15067476,16670.19198,8517.919223,4448.932189,278.4656554,47.8877279,24.42976086,96.57513082,2.598904478,76.23716314,26.77264255,0.275148419,0.279135887,0.059725854,0.028904255
Tanzania,Pandambili,2,1,-6.08874989,36.43598175,Topsoil,5.01,0.05,0.57,0,0.57,1554.842158,949.2351988,52.60864408,22.88733891,2.5,48.31,1.16,0.656373838,0.689643599,0.012822335,3.878542832,25915.49391,267.669484,3.745461235,71.12524918,11.18726731,12024.05452,1343.124117,592.0484728,81.7260604,41.82301553,12.74177105,87.04007317,1.955844485,53.86355667,16.70462343,0.371204824,0.318385668,0.122074964,0.005390654
