Biome,Total_SOC (kg),SOC_Density_5_Percentile (kg/m2),SOC_Density_50_Percentile (kg/m2),SOC_Density_95_Percentile (kg/m2),Annual_SOC_Change_5_Percentile (kg/m2),Annual_SOC_Change_50_Percentile (kg/m2),Annual_SOC_Change_95_Percentile (kg/m2),Relative_SOC_Change_5_Percentile,Relative_SOC_Change_50_Percentile,Relative_SOC_Change_95_Percentile
Forest,12101.280985346879,4.957589600229417,6.412917942023256,8.70565847737238,-0.01478069314368286,0.08809525336718806,0.21120487310196132,-0.18439481113371106,1.2693786591438398,3.183798662365397
Fynbos,87995.77646048588,1.8405642959533075,4.062520946591898,6.389850057496966,0.001635353534476,0.03659265673003684,0.08905551171614749,0.041584071582474756,1.0642212948784733,1.880341542755894
Grassland,313346.68875846476,1.8858451115619064,3.3881838081096616,6.9871315031295715,0.011014646220310304,0.043346928204767377,0.1254642391119087,0.3245857461965483,1.2680203180109295,2.5171706911119545
NamaKaroo,127126.27936608563,0.9489519306314416,1.3529198931350734,2.7249737363317648,-0.003647167222897073,0.008777506710203092,0.0483904252156886,-0.2669918754342252,0.6987150974450559,2.218848751535769
Savanna,348519.105738589,1.1311141251470227,2.6843576266389473,7.17533533614493,-0.009590081032379384,0.026134740400700393,0.09973191161538285,-0.3752918087312948,0.989629675164274,2.2664982462486782
SucculentKaroo,41655.72487061813,1.2245291640695277,1.662941323047198,3.6813716026695023,-0.0029358944337068696,0.006898553693696837,0.032851304981435084,-0.19326696204007598,0.40759607834360656,1.5450903952096886
Thicket,58598.49243884344,2.4779880722568457,5.192442363089963,8.113008825806059,-0.008139010955272929,0.046205625257488815,0.17117801578456626,-0.31248291668618206,0.9279660212785135,2.2998434282005222
Total,989343.3486184338,1.0655236569050759,2.4684875849953833,6.736256230703276,-0.003926093595048596,0.025599356349369624,0.10110453958250003,-0.2025965753985426,0.965705062523168,2.3042434315780236
