Lat,Lon,C,Red,Green,Blue,NIR,NDVI,EVI,SAVI,RVI,Precipitation,Minimum Temp.,Maximum Temp.,DEM,Aspect,Slope,TWI,Category
-30.93083333,29.20555556,1.1,11182.896,9786.259,8405.412,14065.922,0.114,0.406,0.172,1.263,51.3,11.0,24.0,1040.838,-1.664,7.594,5.621,1.0-2.0
-30.93305556,29.33222222,0.8,9799.325,8880.942,7863.165,13109.071,0.144,0.674,0.217,1.344,53.2,11.0,23.0,815.626,-0.667,7.435,5.9,0.5-1.0
-30.78888889,29.46611111,3.8,10542.743,9373.586,7911.615,15625.713,0.195,0.699,0.293,1.5,54.4,9.0,22.0,1375.576,1.999,6.653,8.168,3.0-4.0
-30.40972222,29.89416667,1.7,8870.76,8246.461,7405.106,12263.927,0.153,0.799,0.23,1.383,50.5,13.0,24.0,610.381,-2.613,3.177,9.767,1.0-2.0
-31.46694444,29.72916667,2.0,9875.299,9256.355,8142.984,17085.561,0.266,1.238,0.398,1.744,69.2,13.0,23.0,34.883,2.332,10.685,2.019,1.0-2.0
-31.25138889,29.565,1.6,9650.488,8755.466,7747.724,13446.871,0.162,0.723,0.242,1.399,36.5,9.0,22.0,574.044,-3.09,4.232,5.709,1.0-2.0
-31.47889,29.03278,17.0,10345.826,9138.496,8086.411,13818.959,0.143,0.575,0.215,1.34,156.7,14.0,25.0,853.619,-2.528,10.05,7.07,> 4.0
-31.11388889,29.31555556,3.7,9845.643,8940.472,7888.789,14465.551,0.187,0.801,0.281,1.478,56.5,11.0,23.0,939.36,2.88,16.33,7.173,3.0-4.0
-31.46888889,29.19388889,3.5,10066.998,8997.986,7859.224,15563.997,0.212,0.828,0.318,1.562,28.2,8.0,21.0,816.694,-2.798,20.404,2.574,3.0-4.0
-31.33361111,29.17027778,2.1,10367.525,9190.816,8023.706,14826.252,0.177,0.666,0.265,1.438,29.1,10.0,22.0,783.239,-3.098,15.955,8.029,2.0-3.0
-30.75583333,29.01222222,1.5,10392.988,9186.211,7943.029,14362.793,0.161,0.597,0.241,1.389,47.0,11.0,24.0,1045.466,1.979,3.909,6.985,1.0-2.0
-31.01416667,29.23972222,3.4,9516.74,8598.167,7602.923,12643.483,0.14,0.64,0.211,1.332,54.2,12.0,23.0,881.047,0.658,6.806,7.348,3.0-4.0
-30.20555556,29.89361111,1.4,10049.675,8925.789,7788.227,13479.504,0.147,0.599,0.22,1.354,48.3,12.0,24.0,832.414,-1.981,12.83,8.031,1.0-2.0
-30.91388889,29.31305556,1.4,10737.851,9520.144,8271.63,14166.009,0.138,0.531,0.207,1.325,52.5,11.0,24.0,1017.228,2.365,12.715,8.82,1.0-2.0
-30.67388889,29.465,2.6,9187.754,8328.897,7584.133,11993.02,0.13,0.703,0.194,1.311,51.8,9.0,22.0,1206.736,1.282,19.858,6.634,2.0-3.0
-30.33416667,29.91,2.7,9170.135,8397.922,7439.902,13106.582,0.164,0.711,0.246,1.422,50.5,12.0,23.0,993.324,-1.609,29.784,4.115,2.0-3.0
-30.08416667,29.80166667,2.9,9010.696,8233.266,7478.213,12210.928,0.147,0.864,0.221,1.358,50.1,10.0,23.0,1055.11,1.523,26.051,6.683,2.0-3.0
-30.55666667,29.07472222,0.7,8060.886,7504.001,6949.004,14213.886,0.274,1.546,0.412,1.77,48.7,10.0,23.0,1461.874,1.273,9.617,8.927,0.5-1.0
-31.28,29.13055556,2.2,9681.287,8562.926,7553.891,13193.012,0.153,0.606,0.229,1.37,23.6,9.0,21.0,933.413,-0.687,10.085,7.079,2.0-3.0
-30.73277778,29.01944444,1.7,9417.219,8543.989,7634.216,12328.865,0.132,0.633,0.199,1.311,46.9,11.0,24.0,1117.024,1.517,28.63,8.018,1.0-2.0
-30.40055556,29.87833333,2.1,9523.016,8671.95,7603.393,14299.915,0.197,0.858,0.296,1.523,50.5,13.0,24.0,641.462,2.126,9.621,8.087,2.0-3.0
-30.90916667,29.49166667,3.1,9522.55,8466.646,7507.726,13508.0,0.173,0.746,0.259,1.43,24.3,6.0,20.0,924.234,0.799,10.254,6.737,3.0-4.0
-30.305,29.85055556,0.8,8993.177,8269.927,7394.083,13883.516,0.212,0.994,0.318,1.553,54.2,10.0,22.0,1208.987,2.983,9.851,7.893,0.5-1.0
-30.61389,29.07556,11.0,9877.452,8926.574,7780.152,14640.273,0.199,0.983,0.299,1.521,180.3,13.0,25.0,1186.364,-2.844,4.487,5.609,> 4.0
-31.15972222,29.1575,3.1,9606.043,8534.946,7465.923,13983.964,0.184,0.731,0.277,1.466,53.5,10.0,23.0,1109.102,-1.018,10.748,5.631,3.0-4.0
-31.46833333,29.21416667,4.4,8793.23,8165.49,7402.162,13701.135,0.217,1.23,0.325,1.576,29.4,9.0,21.0,865.239,2.17,0.799,6.734,> 4.0
-31.47,29.04111111,3.4,9384.161,8400.629,7602.567,12097.816,0.126,0.602,0.189,1.295,23.5,7.0,21.0,858.509,0.093,23.482,4.228,3.0-4.0
