Biome,Total_SOC (kg),SOC_Density_5_Percentile (kg/m2),SOC_Density_50_Percentile (kg/m2),SOC_Density_95_Percentile (kg/m2),Annual_SOC_Change_5_Percentile (kg/m2),Annual_SOC_Change_50_Percentile (kg/m2),Annual_SOC_Change_95_Percentile (kg/m2),Relative_SOC_Change_5_Percentile,Relative_SOC_Change_50_Percentile,Relative_SOC_Change_95_Percentile
Forest,11085.067363509486,3.4903270201247736,5.856259436179833,8.704024159343163,0.11585003139254527,0.17380049450539028,0.2513141822370766,2.0386677670063307,2.9721939658962353,6.004356300392834
Fynbos,77350.24098902073,1.3555880234780628,3.4205140475530187,6.195266601459558,1.0291179880120108e-06,0.10376908305466191,0.21901611725895292,7.613952208695061e-05,3.044664786579112,4.974711833991583
Grassland,280146.2093576958,1.9784316904803434,3.0314100340201393,6.473149700196076,0.047989293657005404,0.09187623432670106,0.17629053064959824,1.672952802482883,2.969032718747086,4.141767660742222
NamaKaroo,128218.67412240386,1.332469225883072,1.4379949812775261,2.1895341128990515,-1.838411178683576e-14,2.8974327127646668e-08,0.06058383888193379,-1.3057934211358296e-12,2.0579070617858762e-06,2.882818878034305
Savanna,341986.4167486154,1.4563777183756301,2.5899670462121116,6.6915734440317065,2.512921140701384e-20,0.06926074704312733,0.17392666511960658,1.7252558454789057e-18,2.307920498834583,3.7796102103913523
SucculentKaroo,34411.75133352628,1.308111572889466,1.3937910163490792,2.4005935509505556,-6.276102911400027e-10,4.346946219046662e-08,0.06341502952824085,-4.703942512896746e-08,3.149286864063143e-06,2.8804113908019433
Thicket,53285.23814314726,1.808448085673462,5.362741596292006,7.4351613860176515,0.014615443233433363,0.12549723711483207,0.22346029876638568,0.7220052789209805,2.5318618124461754,3.990371601948858
