Biome,Net_C,Net_Change
Forest,1483.5129865898423,0.2173835520942206
Fynbos,10680.542574003806,2.190437628968167
SucculentKaroo,4898.994967097446,2.1672432615040056
NamaKaroo,14989.676260012997,8.386600808006468
Thicket,6339.769011230845,0.7993916848359494
Savanna,38558.751297394214,8.327950150886817
Grassland,32918.71234500321,6.146000407087115
